ID,Name,Municipality,Province,Instrument,Units,Lat,Lng,Elevation
TOS11000111,Firenze Citta'3,Firenze,FI,anemometer,m/s,43.7715119161,11.2645661959,48.0
TOS11000111,Firenze Citta',Firenze,FI,hygrometer,%,43.7715119161,11.2645661959,48.0
TOS11000111,Firenze Citta',Firenze,FI,rain gauge,mm,43.7715119161,11.2645661959,48.0
TOS11000111,Firenze Citta',Firenze,FI,thermometer,C,43.7715119161,11.2645661959,48.0
TOS02000299,Gallicano,Gallicano,LU,rain gauge,mm,44.0641249412745,10.4429818737325,179.0
TOS01000891,Il Palagio,Figline e Incisa Valdarno,FI,rain gauge,mm,43.6126610750638,11.4272169644294,315.0
TOS01000799,Laterina,Laterina Pergine Valdarno,AR,rain gauge,mm,43.5089544498007,11.7163074016571,210.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,anemometer,deg,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,anemometer,m/s,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,anemometer,m/s,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,barometer,mB,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,atmometer,mm,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,hygrometer,%,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,rain gauge,mm,44.0070304832858,11.271253824234,388.0
TOS01000926,Le Croci (Barberino),Barberino di Mugello,FI,thermometer,C,44.0070304832858,11.271253824234,388.0
TOS02000512,Lucca (Orto Botanico),Lucca,LU,rain gauge,mm,43.8418642805664,10.5108603008157,16.0
TOS02000512,Lucca (Orto Botanico),Lucca,LU,rain gauge,mm,43.8418642805664,10.5108603008157,16.0
TOS02000512,Lucca (Orto Botanico),Lucca,LU,thermometer,C,43.8418642805664,10.5108603008157,16.0
TOS02000512,Lucca (Orto Botanico),Lucca,LU,thermometer,C,43.8418642805664,10.5108603008157,16.0
TOS01000921,Mangona,Barberino di Mugello,FI,hygrometer,%,44.0500613757517,11.195636134639,540.0
TOS01000921,Mangona,Barberino di Mugello,FI,rain gauge,mm,44.0500613757517,11.195636134639,540.0
TOS01000921,Mangona,Barberino di Mugello,FI,rain gauge,mm,44.0500613757517,11.195636134639,540.0
TOS01000921,Mangona,Barberino di Mugello,FI,thermometer,C,44.0500613757517,11.195636134639,540.0
TOS01000921,Mangona,Barberino di Mugello,FI,thermometer,C,44.0500613757517,11.195636134639,540.0
TOS01000925,Marcoiano,Scarperia e San Piero,FI,hygrometer,%,44.0544206678,11.3048246514,537.51
TOS01000925,Marcoiano,Scarperia e San Piero,FI,rain gauge,mm,44.0544206678,11.3048246514,537.51
TOS01000925,Marcoiano,Scarperia e San Piero,FI,thermometer,C,44.0544206678,11.3048246514,537.51
TOS03001385,Mensano,Casole d'Elsa,SI,hygrometer,%,43.291376,11.071148,365.0
TOS03001385,Mensano,Casole d'Elsa,SI,rain gauge,mm,43.291376,11.071148,365.0
TOS03001385,Mensano,Casole d'Elsa,SI,rain gauge,mm,43.291376,11.071148,365.0
TOS03001385,Mensano,Casole d'Elsa,SI,thermometer,C,43.291376,11.071148,365.0
TOS03001385,Mensano,Casole d'Elsa,SI,thermometer,C,43.291376,11.071148,365.0
TOS03002733,Montalcinello,Chiusdino,SI,rain gauge,mm,43.2031113092876,11.0766198253483,380.0
TOS02004291,Monte S.Quirico,Lucca,LU,stage,m,43.8572545030324,10.5068632457301,25.0
TOS02004291,Monte S.Quirico,Lucca,LU,stage,m,43.8572545030324,10.5068632457301,25.0
TOS01000741,Monte S.Savino,Monte San Savino,AR,hygrometer,%,43.3391273733117,11.7423462867737,275.0
TOS01000741,Monte S.Savino,Monte San Savino,AR,rain gauge,mm,43.3391273733117,11.7423462867737,275.0
TOS01000741,Monte S.Savino,Monte San Savino,AR,thermometer,C,43.3391273733117,11.7423462867737,275.0
TOS11000020,Monte Serra,Calci,PI,anemometer,deg,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,anemometer,m/s,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra3,Calci,PI,anemometer,m/s,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,barometer,mB,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,hygrometer,%,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,rain gauge,mm,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,rain gauge,mm,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,Crookes radiometer,W/mq,43.7470720785504,10.5544602870941,890.0
TOS11000020,Monte Serra,Calci,PI,thermometer,C,43.7470720785504,10.5544602870941,890.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,anemometer,deg,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,anemometer,m/s,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena3,Monteroni d'Arbia,SI,anemometer,m/s,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,hygrometer,%,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,rain gauge,mm,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,Crookes radiometer,W/mq,43.2430144300338,11.4168870449066,165.0
TOS11000082,Monteroni Arbia Biena,Monteroni d'Arbia,SI,thermometer,C,43.2430144300338,11.4168870449066,165.0
TOS01004571,Montevarchi,Montevarchi,AR,anemometer,deg,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,anemometer,m/s,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,anemometer,m/s,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,stage,m,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,stage,m,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,hygrometer,%,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,rain gauge,mm,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,rain gauge,mm,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,thermometer,C,43.5412115000281,11.5662079934808,133.8
TOS01004571,Montevarchi,Montevarchi,AR,thermometer,C,43.5412115000281,11.5662079934808,133.8
TOS03002742,Monticiano La Pineta,Monticiano,SI,anemometer,deg,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,anemometer,m/s,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,anemometer,m/s,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,hygrometer,%,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,rain gauge,mm,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,rain gauge,mm,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,thermometer,C,43.1343738659377,11.2420224628027,450.0
TOS03002742,Monticiano La Pineta,Monticiano,SI,thermometer,C,43.1343738659377,11.2420224628027,450.0
TOS01004659,Nave di Rosano,Rignano sull'Arno,FI,stage,m,43.771197477581,11.4228155853198,78.84
TOS01004659,Nave di Rosano,Rignano sull'Arno,FI,stage,m,43.771197477581,11.4228155853198,78.84
TOS01004659,Nave di Rosano,Rignano sull'Arno,FI,rain gauge,mm,43.771197477581,11.4228155853198,78.84
TOS01004659,Nave di Rosano,Rignano sull'Arno,FI,rain gauge,mm,43.771197477581,11.4228155853198,78.84
TOS01001889,Orentano,Castelfranco di Sotto,PI,rain gauge,mm,43.7744248126679,10.6570820458268,22.0
TOS01001889,Orentano,Castelfranco di Sotto,PI,rain gauge,mm,43.7744248126679,10.6570820458268,22.0
TOS01001889,Orentano,Castelfranco di Sotto,PI,thermometer,C,43.7744248126679,10.6570820458268,22.0
TOS01001889,Orentano,Castelfranco di Sotto,PI,thermometer,C,43.7744248126679,10.6570820458268,22.0
TOS11000080,Pentolina,Chiusdino,SI,anemometer,deg,43.2085023992,11.1799021081,450.0
TOS11000080,Pentolina,Chiusdino,SI,anemometer,m/s,43.2085023992,11.1799021081,450.0
TOS11000080,Pentolina3,Chiusdino,SI,anemometer,m/s,43.2085023992,11.1799021081,450.0
TOS11000080,Pentolina,Chiusdino,SI,hygrometer,%,43.2085023992,11.1799021081,450.0
TOS11000080,Pentolina,Chiusdino,SI,rain gauge,mm,43.2085023992,11.1799021081,450.0
TOS11000080,Pentolina,Chiusdino,SI,Crookes radiometer,W/mq,43.2085023992,11.1799021081,450.0
